Date,Total_Sales_Units,Location_ID
2023-03-15,45,2
2023-09-12,156,1
2023-04-04,145,3
2024-06-21,154,3
2023-02-13,26,1
2023-04-15,67,1
2024-09-17,103,2
2023-12-26,154,2
2024-01-23,128,3
2023-05-22,190,2
2022-11-12,184,2
2023-08-06,183,2
2024-04-16,65,3
2023-01-13,182,3
2023-10-29,106,1
2023-07-10,71,3
2023-04-19,126,2
2024-08-16,188,1
2024-07-09,73,1
2023-11-07,77,2
2024-05-21,74,2
2023-12-11,175,1
2024-05-13,106,1
2023-10-25,37,1
2023-11-11,139,1
2024-02-14,44,2
2023-05-11,192,2
2024-06-29,33,2
2023-07-25,140,3
2023-07-18,185,1
2023-01-02,155,2
2023-08-06,10,2
2022-10-23,23,2
2024-08-25,81,3
2024-05-30,145,2
2024-02-14,119,1
2023-07-05,49,3
2023-07-20,146,2
2024-08-12,101,2
2023-02-15,49,1
2024-03-06,57,3
2024-03-06,40,3
2024-01-26,161,2
2022-11-04,130,2
2023-01-29,78,1
2023-10-06,130,1
2023-06-29,128,2
2023-06-24,84,2
2024-01-18,197,2
2024-08-08,155,2
2023-10-16,35,1
2023-12-24,21,1
2024-09-26,77,3
2022-10-07,21,3
2024-01-15,107,2
2024-08-24,181,1
2024-08-10,152,1
2023-03-02,58,3
2024-09-19,197,1
2023-12-21,31,3
2023-09-09,64,1
2023-10-26,107,3
2024-06-06,10,3
2022-11-27,66,3
2023-02-06,36,1
2024-03-28,183,3
2023-08-19,81,1
2022-10-21,111,1
2024-02-25,104,1
2024-05-31,69,2
2023-01-06,115,1
2024-04-29,89,2
2023-03-31,59,3
2023-06-15,19,2
2023-06-06,33,3
2022-10-11,140,3
2023-08-22,52,2
2023-06-29,145,1
2024-05-09,49,3
2023-01-23,95,3
2022-11-12,135,3
2022-11-12,117,2
2024-05-06,108,1
2024-02-03,128,1
2024-06-14,171,2
2024-06-08,66,2
2024-06-14,100,3
2023-04-29,165,3
2023-11-27,21,3
2024-07-24,169,3
2023-10-29,66,3
2024-02-05,144,1
2023-09-05,46,2
2022-11-22,188,1
2022-11-08,149,3
2023-09-23,125,1
2022-10-30,18,2
2023-05-08,130,3
2024-07-28,188,2
2023-07-01,34,3
2023-03-19,86,3
2022-12-13,76,1
2024-06-20,171,1
2023-02-15,18,2
2023-08-25,116,2
2024-04-19,135,1
2022-12-07,92,2
2023-03-12,102,3
2023-02-28,114,3
2024-08-27,38,3
2024-06-28,99,3
2023-10-08,61,1
2023-10-22,182,1
2024-09-08,82,1
2024-03-15,173,2
2022-10-27,160,2
2024-03-15,96,3
2023-08-10,74,1
2023-11-05,160,3
2023-07-28,128,1
2022-11-21,148,2
2022-12-20,39,1
2022-11-04,150,1
2023-01-26,171,1
2024-05-05,154,2
2023-01-10,143,3
2023-03-22,83,2
2024-06-13,127,2
2024-08-09,110,1
2022-12-01,29,1
2023-01-01,145,3
2023-04-01,33,3
2023-02-11,39,3
2022-11-04,126,1
2024-01-08,39,2
2023-10-14,64,3
2024-05-26,184,2
2023-03-31,118,3
2024-08-23,194,3
2023-03-18,85,2
2023-08-14,122,1
2024-01-17,91,1
2024-06-29,138,3
2023-11-30,15,3
2024-07-17,64,1
2024-03-07,113,1
2022-10-06,148,3
2024-09-22,164,2
2022-10-15,175,1
2023-05-05,61,1
2023-01-20,180,1
2024-02-19,149,1
2024-04-11,155,1
2023-10-06,153,3
2023-09-12,73,2
2023-06-06,139,3
2023-09-03,67,1
2024-09-27,88,2
2022-12-22,87,2
2024-09-16,157,2
2023-08-27,70,1
2024-03-18,88,3
2022-12-17,104,3
2022-10-02,176,2
2022-12-30,68,2
2024-05-31,198,2
2022-11-09,121,2
2024-03-22,102,2
2024-02-05,80,1
2024-08-17,165,2
2022-11-01,184,2
2024-06-28,30,3
2023-05-15,82,3
2024-02-24,155,2
2024-05-16,192,1
2023-05-23,146,2
2024-05-29,129,3
2023-01-10,56,1
2024-02-11,186,1
2023-04-07,81,3
2023-11-12,22,2
2024-09-24,171,2
2023-01-02,87,2
2023-04-06,189,1
2023-12-04,69,3
2023-05-01,148,1
2024-03-09,133,3
2022-10-02,181,1
2023-08-01,152,3
2022-10-08,25,1
2024-02-05,48,3
2024-03-13,22,1
2023-01-03,24,3
2023-10-10,92,1
2023-11-11,155,1
2024-08-17,114,2
2023-06-04,189,2
2023-08-05,181,2
2022-11-14,161,3
2023-06-22,185,1
2024-04-21,128,3
2022-10-22,110,2
2023-03-28,99,2
2022-11-04,77,1
2024-09-03,72,2
2024-05-02,28,1
2023-09-10,98,3
2022-11-04,58,2
2024-07-03,188,1
2022-11-07,138,3
2023-08-07,170,3
2023-09-02,155,1
2022-12-07,124,3
2022-12-18,50,3
2023-08-14,125,2
2022-10-03,106,1
2024-08-29,122,3
2023-05-23,122,2
2024-03-09,152,2
2022-11-09,38,2
2023-03-15,15,2
2023-12-14,183,1
2022-11-20,39,1
2023-09-20,33,1
2024-06-15,42,1
2024-07-17,106,1
2023-10-01,24,3
2024-05-20,42,3
2023-03-25,34,3
2023-10-22,79,2
2023-09-25,62,3
2024-03-30,83,1
2024-04-18,81,3
2023-03-20,59,2
2023-11-23,190,2
2024-01-13,128,2
2023-12-05,112,1
2024-08-27,161,1
2024-08-06,112,2
2022-10-16,193,1
2023-10-14,61,3
2024-01-02,15,3
2024-04-07,33,2
2024-01-19,40,1
2024-03-07,19,3
2024-05-04,196,2
2022-11-01,35,3
2024-05-11,46,1
2023-11-05,65,1
