Date,Temperature_C,Precipitation_mm,Location_ID
2022-10-19,10.08,13.01,1
2024-06-04,24.22,5.04,1
2023-06-23,22.68,5.55,1
2023-01-28,16.81,17.38,1
2024-05-11,21.58,17.18,1
2022-11-16,27.1,7.32,1
2022-10-12,21.49,18.93,1
2024-04-14,29.12,3.76,1
2024-08-11,10.16,1.87,1
2023-08-02,22.92,5.5,1
2024-05-17,13.69,0.53,1
2024-07-15,10.48,17.81,1
2024-03-25,32.15,13.92,1
2024-09-20,32.76,6.35,1
2023-02-06,26.19,19.5,1
2022-12-23,13.91,8.4,1
2023-12-21,19.88,15.92,1
2024-03-28,16.88,14.64,1
2023-01-27,34.25,11.85,1
2023-11-25,33.02,0.86,1
2023-06-15,27.61,19.37,1
2023-12-31,25.34,3.82,1
2022-12-19,20.62,15.17,1
2023-09-12,34.13,9.09,1
2024-05-14,28.91,5.9,1
2023-06-13,22.41,1.64,1
2024-03-13,10.32,3.63,1
2024-08-31,33.82,7.72,1
2024-03-08,22.87,2.6,1
2023-05-21,15.54,16.01,1
2022-12-28,29.45,16.08,1
2023-11-20,19.9,16.85,1
2024-01-01,34.76,16.28,1
2023-02-28,20.45,11.37,1
2023-10-06,15.61,13.57,1
2023-11-06,23.52,1.99,1
2023-10-12,28.89,10.39,1
2024-04-10,21.78,6.37,1
2024-08-08,29.57,13.08,1
2024-08-18,29.21,3.18,1
2023-03-27,15.22,12.34,1
2022-12-07,28.43,2.71,1
2023-09-25,11.27,2.33,1
2024-03-17,14.41,4.79,1
2022-10-18,14.75,14.22,1
2023-07-09,14.09,2.17,1
2023-08-08,10.06,5.74,1
2023-10-12,19.02,18.22,1
2024-05-22,22.51,3.23,1
2023-06-21,19.71,1.21,1
2023-08-28,26.17,6.68,1
2022-11-24,10.35,9.88,1
2022-10-11,28.94,2.22,1
2024-06-27,32.93,11.77,1
2022-12-30,10.4,18.25,1
2024-06-10,30.41,18.12,1
2022-10-12,16.14,0.27,1
2023-07-11,12.77,13.91,1
2023-01-02,10.16,17.23,1
2022-12-29,30.67,17.44,1
2024-03-19,18.87,4.48,1
2024-04-01,17.88,4.0,1
2022-11-02,11.99,13.63,1
2024-07-30,23.41,13.64,1
2023-09-02,12.64,0.22,1
2023-02-11,27.37,3.26,1
2024-07-13,12.17,0.84,1
2024-01-08,21.66,10.86,1
2023-08-10,31.63,17.63,1
2023-04-10,11.53,14.5,1
2024-07-27,10.54,16.8,1
2023-05-12,22.32,5.88,1
2023-08-06,14.5,19.83,1
2024-01-10,11.22,2.13,1
2023-08-14,33.16,5.55,1
2024-06-24,24.79,2.98,1
2023-03-22,22.03,11.92,1
2023-12-06,19.37,7.9,1
2023-12-30,17.05,17.01,1
2024-09-06,25.79,10.96,1
2022-12-29,30.05,14.73,1
2023-04-13,25.7,2.43,1
2024-06-25,30.01,12.64,1
2023-03-17,30.7,1.96,1
2024-04-16,32.73,7.12,1
2023-02-08,15.33,1.34,1
2023-01-10,12.29,4.77,1
2024-02-01,32.42,8.03,1
2024-01-18,19.42,11.52,1
2023-08-13,26.19,2.71,1
2023-02-28,23.14,19.15,1
2024-01-25,17.18,2.08,1
2024-06-23,22.75,17.09,1
2023-01-18,22.55,5.34,1
2023-10-15,21.83,4.65,1
2023-01-08,18.96,10.54,1
2023-07-31,22.42,7.59,1
2022-12-23,15.23,12.6,1
2024-05-16,23.65,4.7,1
2024-03-04,11.51,11.38,1
2024-04-25,19.19,9.4,1
2024-02-25,31.59,18.68,1
2022-11-03,26.87,2.39,1
2024-08-13,27.92,10.13,1
2023-09-22,32.58,6.59,1
2024-09-15,16.94,18.92,1
2024-02-09,34.3,8.92,1
2023-09-07,11.41,8.6,1
2023-02-18,18.4,2.17,1
2024-01-08,34.51,10.5,1
2023-08-06,21.73,4.07,1
2023-02-09,11.54,6.15,1
2022-12-01,26.56,10.85,1
2022-12-15,23.24,6.57,1
2022-12-21,23.81,5.14,1
2023-08-15,16.67,12.41,1
2022-09-30,21.61,4.78,1
2024-04-16,28.92,17.71,1
2024-07-09,24.7,14.13,1
2024-08-20,13.44,4.19,1
2023-01-10,27.04,19.72,1
2023-05-07,17.91,0.13,1
2024-03-05,26.09,8.46,1
2023-03-14,23.42,8.86,1
2023-02-22,29.33,16.58,1
2023-07-23,10.78,11.04,1
2023-09-23,22.32,6.0,1
2022-12-04,27.76,13.01,1
2023-03-22,16.12,16.94,1
2023-09-01,33.46,7.2,1
2023-07-21,20.55,4.75,1
2024-09-09,14.22,0.94,1
2023-01-25,12.96,13.24,1
2023-04-12,24.69,10.21,1
2022-11-09,13.34,9.96,1
2023-11-12,16.15,9.28,1
2023-07-03,20.15,7.55,1
2024-04-14,34.45,9.66,1
2023-11-07,22.77,19.21,1
2024-01-02,11.72,13.93,1
2024-03-10,28.07,12.68,1
2024-09-02,28.18,4.86,1
2022-10-06,24.7,17.55,1
2023-09-16,18.52,3.67,1
2023-08-07,14.83,13.66,1
2024-01-06,33.48,15.78,1
2024-08-01,11.41,2.69,1
2024-03-17,34.05,2.66,1
2023-08-16,26.0,11.0,1
2024-08-05,11.7,0.4,1
2024-09-15,22.65,15.76,1
2023-10-17,16.05,12.66,1
2024-07-27,19.54,5.66,1
2024-06-03,16.26,5.9,1
2023-12-10,22.8,1.34,1
2023-08-15,15.95,9.14,1
2023-03-20,18.07,15.91,1
2023-08-14,32.56,13.59,1
2024-08-13,15.93,3.18,1
2022-12-30,23.63,6.29,1
2024-07-05,10.25,1.08,1
2024-03-06,10.99,7.13,1
2023-02-13,32.46,16.33,1
2023-08-10,12.06,9.54,1
2023-07-25,17.79,1.98,1
2023-05-11,13.96,8.7,1
2024-06-28,25.12,8.65,1
2024-07-29,12.22,6.01,1
2024-06-07,20.02,9.99,1
2024-06-19,31.52,19.93,1
2024-08-28,22.41,9.96,1
2024-04-20,11.47,10.08,1
2023-05-15,17.9,14.03,1
2024-09-06,25.06,7.24,1
2024-07-23,34.64,1.66,1
2023-12-05,25.74,4.47,1
2023-04-22,14.02,11.1,1
2024-01-30,20.25,15.52,1
2023-09-07,12.38,7.57,1
2022-10-18,24.12,14.46,1
2023-12-02,12.8,0.57,1
2024-04-06,20.82,18.17,1
2023-05-13,29.13,3.96,1
2023-01-27,25.31,3.34,1
2024-01-01,11.9,17.71,1
2023-03-13,30.11,17.87,1
2024-04-29,18.23,5.0,1
2023-07-05,19.62,5.04,1
2022-10-10,16.86,13.64,1
2023-03-06,17.7,14.44,1
2023-04-04,23.56,9.56,1
2024-09-13,24.82,0.16,1
2023-04-28,15.66,8.04,1
2022-10-09,28.88,17.08,1
2024-05-06,15.41,11.88,1
2024-03-29,34.15,6.03,1
2023-02-15,34.17,9.84,1
2023-09-23,21.33,4.31,1
2022-12-16,31.56,1.04,1
2023-06-30,22.41,2.37,1
2023-02-01,15.91,18.05,1
2023-11-18,20.69,15.74,1
2022-11-15,32.32,0.87,1
2024-08-24,15.56,19.88,1
2024-07-05,12.79,14.71,1
2024-05-19,16.44,2.92,1
2023-07-14,20.95,5.27,1
2023-02-25,21.89,13.56,1
2023-04-21,31.24,12.11,1
2024-04-08,15.75,14.74,1
2023-05-14,22.18,18.94,1
2022-12-24,21.46,12.36,1
2023-11-29,22.45,5.15,1
2023-05-31,29.23,7.05,1
2022-10-20,29.45,16.22,1
2023-02-20,25.56,16.44,1
2022-10-21,10.05,18.0,1
2024-09-22,33.63,11.88,1
2024-09-19,13.92,17.94,1
2023-10-06,23.11,19.71,1
2022-10-10,32.27,5.73,1
2024-08-30,24.13,7.6,1
2023-09-18,13.86,0.96,1
2023-07-15,13.29,18.16,1
2024-05-01,17.79,14.33,1
2024-03-19,31.71,18.58,1
2024-05-11,32.12,15.95,1
2023-04-19,16.23,5.45,1
2023-11-27,20.55,5.18,1
2024-08-24,24.68,17.47,1
2023-11-12,12.75,2.83,1
2024-06-20,21.76,0.43,1
2024-04-02,28.39,17.22,1
2022-11-21,24.03,17.22,1
2024-09-22,14.92,16.43,1
2024-07-08,30.4,1.38,1
2024-01-10,16.72,18.56,1
2023-09-23,34.96,7.34,1
2023-10-06,26.64,12.28,1
2022-11-24,15.79,5.06,1
2024-08-18,16.48,17.66,1
2024-02-06,20.19,11.33,1
2022-12-23,18.18,7.86,1
2023-12-05,25.56,10.67,1
2023-07-19,23.69,14.36,1
2024-07-03,25.0,10.01,1
2023-05-05,11.24,16.52,1
2024-02-09,20.62,15.07,1
2024-04-16,34.96,3.78,1
2024-04-13,27.16,9.99,1
2024-04-29,19.72,4.99,1
2023-10-03,23.62,11.64,1
2024-09-06,15.16,8.99,1
2022-12-10,12.75,11.26,1
2024-03-21,18.22,15.48,1
2024-08-15,23.16,19.47,1
2022-12-01,31.31,1.03,1
2023-10-07,27.08,11.6,1
2022-10-06,18.63,7.31,1
2024-05-06,18.69,14.77,1
2023-01-18,26.94,4.57,1
2023-04-24,30.28,1.64,1
2024-06-09,26.09,12.17,1
2023-07-13,31.39,5.48,1
2022-10-23,33.54,18.38,1
2023-03-04,24.81,5.7,1
2023-01-10,13.43,7.78,1
2024-05-11,26.79,3.56,1
2023-07-31,13.03,18.83,1
2024-07-05,33.86,11.89,1
2023-12-23,32.02,10.65,1
2023-06-22,31.57,7.23,1
2023-01-03,28.23,9.17,1
2024-07-01,26.66,15.29,1
2023-06-21,24.88,19.21,1
2024-02-18,18.96,3.71,1
2024-07-09,22.55,9.36,1
2023-02-27,15.65,7.68,1
2024-08-06,17.16,12.24,1
2023-05-17,33.11,19.14,1
